Customer ID,Name,Email,Purchase Amount
1,hailey.little@yahoo.com,78.95
2,mark.luna@gmail.com,830.34
3,amy.chavez@hotmail.com,839.99
7,ashley.glenn@hotmail.com,418.04
8,megan.evans@hotmail.com,371.34
9,brooke.davis@yahoo.com,296.73
10,linda.ross@gmail.com,776.51
11,christian.robinson@yahoo.com,159.41
12,jennifer.simmons@hotmail.com,49.48
13,gabriel.preston@hotmail.com,277.89
14,tami.ashley@yahoo.com,632.72
15,james.farmer@yahoo.com,148.23
16,leon.griffin@hotmail.com,440.0
17,justin.anderson@yahoo.com,718.240
18,eric.george@hotmail.com,546.74
19,john.marshall@gmail.com,564.69
20,angelica.butler@yahoo.com,843.99
21,kimberly.davis@yahoo.com,815.14
23,robert.avila@hotmail.com,694.43
24,marcus.long@hotmail.com,731.94
25,jeffrey.haley@yahoo.com,707.01
27,charlotte.hahn@gmail.com,324.07
28,karen.williams@hotmail.com,433.18
29,charles.holmes@gmail.com,465.5
30,sarah.turner@gmail.com,178.06
31,laura.lopez@hotmail.com,763.78
32,bryan.brown@yahoo.com,486.36
33,michelle.erickson@gmail.com,998.18
34,rachel.weaver@hotmail.com,365.23
35,andrew.lopez@gmail.com,693.97
40,allison.meyer@yahoo.com,495.32
41,richard.baird@yahoo.com,146.22
43,william.johnson@hotmail.com,53.99
44,william.clark@hotmail.com,22.66
45,alyssa.price@hotmail.com,578.64
46,jacqueline.boyer@gmail.com,887.69
48,thomas.johnston@yahoo.com,93.73
49,amy.vincent@gmail.com,941.47
50,nancy.miles@gmail.com,167.58
51,marissa.nash@yahoo.com,536.33
52,carrie.lara@gmail.com,224.28
53,william.doyle@gmail.com,379.2
54,jason.brewer@gmail.com,506.09
55,ashley.wallace@yahoo.com,553.03
56,jennifer.moore@yahoo.com,629.04
57,shelly.chavez@yahoo.com,601.84
58,troy.munoz@yahoo.com,579.92
59,james.bryant@gmail.com,562.95
60,amy.bell@gmail.com,969.26
61,barbara.thomas@hotmail.com,997.64
62,alison.jackson@yahoo.com,804.66
